title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
Chairman of the State Statistics Committee,2015-08-13,Q16374811,Tahir Budaqov,male,1965-01-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Budagov%20Tahir.jpg
Chairman of the State Tourism Agency,2018-04-23,Q55202229,Fuad Naghiyev,male,1975-07-22,11,,,
Chairman of the State Urban Planning and Architecture Committee,2020-01-08,Q81409395,Anar Guliyev,male,1977-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/MG%203183%20%28002%29.jpg
"Chairperson of the State Committee for Family, Women and Children Affairs",2020-03-12,Q16365430,Bahar Muradova,female,1962-03-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ms.%20Bahar%20A.%20Muradova%20%28Azerbaijan%29%20at%20Standing%20Committee%2C%20Berlin%2C%207%20July%202018%20%2842539972384%29%20%28cropped%29.jpg
Prosecutor General,2020-05-01,Q18427736,Kamran Aliyev,male,1965-11-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kamran%20Aliyev.jpg
Chief of the State Security Service,2019-06-20,Q64739163,Ali Naghiyev,male,1958-11-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ali%20Naghiyev%20%28cropped%29.jpg
Chief of the Foreign Intelligence Service,2015-12-14,Q65178679,Orkhan Sultanov,male,1977-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Orxan%20Sultanov.jpg
Chief of the State Border Service,2002-07-31,Q16367049,Elchin Guliyev,male,1967-09-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/El%C3%A7in%20Quliyev.jpg
Chief of the State Migration Service,2018-04-23,Q24698931,Vüsal Hüseynov,male,1980-01-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vusal%20Huseynov%20delivering%20a%20speech.jpg
Chief of the State Mobilization and Conscription Service,2012-02-13,Q4802771,Arzu Rahimov,male,1964-10-01,11,,,
Governor of the Central Bank,1995-01-01,Q1813593,Elman Rustamov,male,1952-06-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Elman%20Rustamov%20%26%20Kirsan%20Ilyumzhinov.jpg
