position,person,personID,start,end,gender,DOB,DOD,image,enwiki
member of the 13th House of Representatives of Malta,Ivan Bartolo,Q37861023,2017-06-21,,male,,,,
member of the 13th House of Representatives of Malta,Maria Deguara,Q37861132,2017-06-21,,female,1949-09,,,Maria Deguara
member of the 13th House of Representatives of Malta,David Stellini,Q37861319,2017-06-21,,male,,,,
member of the 13th House of Representatives of Malta,Carmelo Mifsud Bonnici,Q1043584,2017-06-24,,male,1960-02-17,,,Carmelo Mifsud Bonnici
member of the 13th House of Representatives of Malta,Simon Busuttil,Q1363583,2017-06-24,,male,1969-03-21,,"EPP Summit; Meise, Dec. 2013 (11451086046).jpg",Simon Busuttil
member of the 13th House of Representatives of Malta,Konrad Mizzi,Q15711259,2017-06-24,,male,1977-11-04,,Konrad Mizzi.jpg,Konrad Mizzi
member of the 13th House of Representatives of Malta,Mario Galea,Q1596298,2017-06-24,,male,1962-06-08,,,
member of the 13th House of Representatives of Malta,Owen Bonnici,Q16199692,2017-06-24,,male,1980-05-24,,"Hon. Owen Bonnici MP - Minister for Justice, Culture and Local Government Malta at the Europeana Strategy meeting “Migration and culture- how can our past educate our present” (34024402984).jpg",Owen Bonnici
member of the 13th House of Representatives of Malta,Christian Cardona,Q16213896,2017-06-24,,male,1972,,Hon. Minister Dr. Christian Cardona.jpg,Chris Cardona
member of the 13th House of Representatives of Malta,Jason Azzopardi,Q1683865,2017-06-24,,male,1971-03-16,,,Jason Azzopardi
member of the 13th House of Representatives of Malta,Ryan Callus,Q17016298,2017-06-24,,male,1983-06-22,,,Ryan Callus
member of the 13th House of Representatives of Malta,Therese Comodini Cachia,Q17266625,2017-06-24,,female,1973-02-23,,2014-07-01-Europaparlament Comodini Cachia by Olaf Kosinsky -64 (2).jpg,Therese Comodini Cachia
member of the 13th House of Representatives of Malta,Edward Scicluna,Q173958,2017-06-24,,male,1946-10-12,,Informal meeting of economic and financial affairs ministers (ECOFIN). Arrivals Edward Scicluna (36441334033).jpg,Edward Scicluna
member of the 13th House of Representatives of Malta,Chris Fearne,Q18206002,2017-06-24,,male,1963-03-12,,Informal meeting of health ministers (iEPSCO). Arrivals Chris Fearne (35653640850).jpg,Chris Fearne
member of the 13th House of Representatives of Malta,Beppe Fenech Adami,Q18536890,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Joe Mizzi,Q18536891,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Helena Dalli,Q19958063,2017-06-24,,female,1962-09-29,,"Hearing with Helena Dalli (MT), candidate commissioner for equality (48832245446) (cropped).jpg",Helena Dalli
member of the 13th House of Representatives of Malta,Roderick Galdes,Q20949398,2017-06-24,,male,,,Hon Roderick Galdes.jpg,Roderick Galdes
member of the 13th House of Representatives of Malta,Silvio Parnis,Q20983473,2017-06-24,,male,,,,Silvio Parnis
member of the 13th House of Representatives of Malta,Silvio Schembri,Q23881652,2017-06-24,,male,1985-05-21,,Silvio Schembri.jpg,Silvio Schembri
member of the 13th House of Representatives of Malta,Marlene Farrugia,Q24643928,2017-06-24,,female,1966-07-24,,,Marlene Farrugia
member of the 13th House of Representatives of Malta,Christopher Said,Q2668705,2017-06-24,,male,1970-07-10,,,Chris Said
member of the 13th House of Representatives of Malta,Robert Cutajar,Q27663240,2017-06-24,,male,,,,Robert Cutajar
member of the 13th House of Representatives of Malta,Clyde Puli,Q2980429,2017-06-24,,male,1969-09-13,,,Clyde Puli
member of the 13th House of Representatives of Malta,Robert Abela,Q37860840,2017-06-24,,male,1977-12-07,,Pm robert abela malta 21022020.jpg,Robert Abela
member of the 13th House of Representatives of Malta,Chris Agius,Q37860847,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,David Agius,Q37860971,2017-06-24,,male,,,David Agius.jpg,
member of the 13th House of Representatives of Malta,Anthony Agius Decelis,Q37860981,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Anthony Bezzina,Q37861035,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Byron Camilleri,Q37861044,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Clint Camilleri,Q37861054,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Justyne Caruana,Q37861067,2017-06-24,,female,,,,Justyne Caruana
member of the 13th House of Representatives of Malta,Deo Debattista,Q37861089,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Jean Pierre Debono,Q37861103,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Kristy Debono,Q37861118,2017-06-24,,female,,,,Kristy Debono
member of the 13th House of Representatives of Malta,Michael Farrugia,Q37861149,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Julia Farrugia Portelli,Q37861162,2017-06-24,,female,,,,Julia Farrugia Portelli
member of the 13th House of Representatives of Malta,Karl Gouder,Q37861176,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Claudio Grech,Q37861189,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Clifton Grima,Q37861219,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Silvio Grixti,Q37861230,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Josè Herrera,Q37861244,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Alex Muscat,Q37861255,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Marthese Portelli,Q37861267,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Anton Refalo,Q37861279,2017-06-24,,male,1956,,,
member of the 13th House of Representatives of Malta,Hermann Schiavone,Q37861292,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Stephen Spiteri,Q37861307,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Edwin Vassallo,Q37861332,2017-06-24,,male,,,,
member of the 13th House of Representatives of Malta,Ian Borg,Q38220741,2017-06-24,,male,,,Ian Borg (cropped).jpg,Ian Borg
member of the 13th House of Representatives of Malta,Claudette Pace,Q440207,2017-06-24,,female,1968-02-08,,,Claudette Pace
member of the 13th House of Representatives of Malta,Mario de Marco,Q441784,2017-06-24,,male,1965-10-18,,"Dr. Mario de Marco LL.M. (CANTAB.), LL.D., M.P..jpg",Mario de Marco
member of the 13th House of Representatives of Malta,Aaron Farrugia,Q4661996,2017-06-24,,male,1980-01-01,,Aafrga.jpg,Aaron Farrugia
member of the 13th House of Representatives of Malta,Carmelo Abela,Q5043368,2017-06-24,,male,1972-02-10,,Carmelo Abela at 2016 Prague Process press conference.jpg,Carmelo Abela
member of the 13th House of Representatives of Malta,Evarist Bartolo,Q5416069,2017-06-24,,male,1952-10-14,,HAND SHAKE 2016-07-14 (28222985071) (cropped).jpg,Evarist Bartolo
member of the 13th House of Representatives of Malta,Frederick Azzopardi,Q5497307,2017-06-24,2020-10-17,male,1949-09-15,2020-10-17,Frederick Azzopardi - September 2016 (cropped).jpg,Frederick Azzopardi
member of the 13th House of Representatives of Malta,Michael Falzon,Q6830205,2017-06-24,,male,1961-11-16,,Michael Falzon 2007 jpg.jpg,Michael Falzon (politician)
member of the 13th House of Representatives of Malta,Robert Arrigo,Q7341603,2017-06-24,,male,1954-12-04,,,Robert Arrigo
member of the 13th House of Representatives of Malta,Joseph Muscat,Q938224,2017-06-24,,male,1974-01-22,,"Joseph Muscat, cropped.jpg",Joseph Muscat
member of the 13th House of Representatives of Malta,Peter Micallef,Q56883641,2017-10-03,2017-10-03,male,,,,
