position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the 6th Scottish Parliament,Liam Kerr,Q24052676,2021-05-06,,male,1975-01-23,,Liam Kerr MSP.jpg,Liam Kerr
Member of the 6th Scottish Parliament,Jeremy Balfour,Q24052677,2021-05-06,,male,1967-03-11,,Jeremy Balfour MSP.jpg,Jeremy Balfour
Member of the 6th Scottish Parliament,Dean Lockhart,Q24052679,2021-05-06,,male,1968-12-24,,DeanLockhartMSP.jpg,Dean Lockhart
Member of the 6th Scottish Parliament,Alexander Stewart,Q24052680,2021-05-06,,male,1962-11-29,,Alexander Stewart MSP.jpg,Alexander Stewart (MSP)
Member of the 6th Scottish Parliament,Willie Rennie,Q2581473,2021-05-06,,male,1967-09-27,,Willie Rennie 2016.png,Willie Rennie
Member of the 6th Scottish Parliament,Alison Johnstone,Q2647232,2021-05-06,,female,1965-10-11,,Alison Johnstone MSP.jpg,Alison Johnstone
Member of the 6th Scottish Parliament,Katy Clark,Q271828,2021-05-06,,female,1967-07-03,,Katy Clark MP.jpeg,Katy Clark
Member of the 6th Scottish Parliament,Paul Sweeney,Q30163629,2021-05-06,,male,1989-01-16,,Paul Sweeney MP - official photo 2017.jpg,Paul Sweeney
Member of the 6th Scottish Parliament,Stephen Kerr,Q30164795,2021-05-06,,male,1960-09-26,,Stephen Kerr MP - official photo 2017.jpg,Stephen Kerr
Member of the 6th Scottish Parliament,Martin Whitfield,Q30167357,2021-05-06,,male,1965,,Official portrait of Martin Whitfield crop 2.jpg,Martin Whitfield
Member of the 6th Scottish Parliament,Jamie Halcro Johnston,Q30260625,2021-05-06,,male,1975-10-08,,JamieHalcroJohnstonMSP.jpg,Jamie Halcro Johnston
Member of the 6th Scottish Parliament,John Swinney,Q333811,2021-05-06,,male,1964-04-13,,Official Portrait of John Swinney.jpg,John Swinney
Member of the 6th Scottish Parliament,Shona Robison,Q444675,2021-05-06,,female,1966-05-26,,"Cabinet Secretary, Shona Robison, 2021.jpg",Shona Robison
Member of the 6th Scottish Parliament,Christine Grahame,Q467108,2021-05-06,,female,1944-09-09,,ChristineGrahameMSP20110510.JPG,Christine Grahame
Member of the 6th Scottish Parliament,Nicola Sturgeon,Q467112,2021-05-06,,female,1970-07-19,,Nicola Sturgeon election infobox 3.jpg,Nicola Sturgeon
Member of the 6th Scottish Parliament,Anas Sarwar,Q478812,2021-05-06,,male,1983-03-14,,Anas Sarwar MSP.jpg,Anas Sarwar
Member of the 6th Scottish Parliament,Angus Robertson,Q480184,2021-05-06,,male,1969-09-28,,"Cabinet Secretary for the Constitution, External Affairs and Culture, Angus Robertson.jpg",Angus Robertson
Member of the 6th Scottish Parliament,James Dornan,Q509808,2021-05-06,,male,1953-03-17,,JamesDornanMSP20110507.JPG,James Dornan
Member of the 6th Scottish Parliament,Brian Whittle,Q514743,2021-05-06,,male,1964-04-26,,BrianWhittleMSP.jpg,Brian Whittle
Member of the 6th Scottish Parliament,Angela Constance,Q524077,2021-05-06,,female,1970-07-15,,"Minister for Drugs Policy, Angela Constance (51190061823).jpg",Angela Constance
Member of the 6th Scottish Parliament,Willie Coffey,Q524532,2021-05-06,,male,1958-05-24,,WillieCoffeyMSP20120523.jpg,Willie Coffey
Member of the 6th Scottish Parliament,Clare Adamson,Q540328,2021-05-06,,female,1967-08-01,,ClareAdamsonMSP20110507.JPG,Clare Adamson
Member of the 6th Scottish Parliament,Sarah Boyack,Q544089,2021-05-06,,female,1961-05-16,,Sarah Boyack MSP.jpg,Sarah Boyack
Member of the 6th Scottish Parliament,Jackie Baillie,Q544729,2021-05-06,,female,1964-01-15,,Jackie Baillie 2018.png,Jackie Baillie
Member of the 6th Scottish Parliament,Fergus Ewing,Q559022,2021-05-06,,male,1957-09-23,,"Cabinet Secretary for the Rural Economy and Connectivity, Fergus Ewing.png",Fergus Ewing
Member of the 6th Scottish Parliament,Alasdair Allan,Q559634,2021-05-06,,male,1971-05-06,,AlasdairAllanMSP20120530.jpg,Alasdair Allan
Member of the 6th Scottish Parliament,Annabelle Ewing,Q564093,2021-05-06,,female,1960-08-20,,AnnabelleEwingMSP20110510.JPG,Annabelle Ewing
Member of the 6th Scottish Parliament,Lorna Slater,Q63929108,2021-05-06,,female,1975,,Lorna Slater 2021.jpg,Lorna Slater
Member of the 6th Scottish Parliament,Gillian Mackay,Q63929148,2021-05-06,,female,1991,,,Gillian Mackay
Member of the 6th Scottish Parliament,Liz Smith,Q644208,2021-05-06,,female,1960-02-27,,ElizabethSmithMSP20110508.JPG,Liz Smith (politician)
Member of the 6th Scottish Parliament,Beatrice Wishart,Q66825436,2021-05-06,,female,1955,,Beatrice Wishart MSP.jpg,Beatrice Wishart
Member of the 6th Scottish Parliament,Claire Baker,Q744632,2021-05-06,,female,1971-03-04,,ClaireBakerMSPPortrait.jpg,Claire Baker
Member of the 6th Scottish Parliament,Ariane Burgess,Q76130661,2021-05-06,,female,,,Ariane Burgess MSP.jpg,Ariane Burgess
Member of the 6th Scottish Parliament,Meghan Gallacher,Q76362968,2021-05-06,,female,1992-01-17,,,Meghan Gallacher
Member of the 6th Scottish Parliament,Pam Duncan-Glancy,Q76363301,2021-05-06,,female,1981-11-02,,,Pam Duncan-Glancy
Member of the 6th Scottish Parliament,Craig Hoy,Q76363665,2021-05-06,,male,,,,Craig Hoy
Member of the 6th Scottish Parliament,Douglas Lumsden,Q76364069,2021-05-06,,male,1971-08,,Douglas Lumsden 2021.jpg,Douglas Lumsden
Member of the 6th Scottish Parliament,Pam Gosal,Q76364140,2021-05-06,,female,1972,,,Pam Gosal
Member of the 6th Scottish Parliament,Tess White,Q76364253,2021-05-06,,female,1965-02-18,,,Tess White
Member of the 6th Scottish Parliament,Rhoda Grant,Q769138,2021-05-06,,female,1963-06-26,,RhodaGrantMSP20110511.JPG,Rhoda Grant
Member of the 6th Scottish Parliament,Bill Kidd,Q862234,2021-05-06,,male,1956-07-24,,BillKiddMSP20070509.jpg,Bill Kidd
Member of the 6th Scottish Parliament,Bob Doris,Q887886,2021-05-06,,male,1973-05-11,,BobDorisMSP20110507.JPG,Bob Doris
Member of the 6th Scottish Parliament,Kenneth Gibson,Q944741,2021-05-06,,male,1961-09-08,,KennethGibsonMSP20110507.JPG,Kenneth Gibson (Scottish politician)
Member of the 6th Scottish Parliament,Carol Mochan,Q98968634,2021-05-06,,female,,,,Carol Mochan
Member of the 6th Scottish Parliament,Màiri McAllan,Q98968661,2021-05-06,,female,1993,,,Màiri McAllan
Member of the 1st Scottish Parliament,Cathy Peattie,Q1051152,1999-05-06,2003-03-31,female,1951-11-24,,Cathey Peattie (Scottish politician).jpg,Cathy Peattie
Member of the 1st Scottish Parliament,Alex Salmond,Q10652,1999-05-06,2001-05-14,male,1954-12-31,,"Alex Salmond, First Minister of Scotland (cropped).jpg",Alex Salmond
Member of the 1st Scottish Parliament,Colin Campbell,Q1108388,1999-05-06,2003-03-31,male,1938-08-31,,,Colin Campbell (Scottish politician)
Member of the 1st Scottish Parliament,Dorothy-Grace Elder,Q1168523,1999-05-06,2002-05-01,female,1942-08-11,,,Dorothy-Grace Elder
Member of the 1st Scottish Parliament,David Davidson,Q1174169,1999-05-06,2003-03-31,male,1943-01-25,,,David Davidson (Scottish politician)
Member of the 1st Scottish Parliament,David McLetchie,Q1175613,1999-05-06,2003-03-31,male,1952-08-06,2013-08-12,DavidMcLetchieMSP20110509.JPG,David McLetchie
Member of the 1st Scottish Parliament,Dennis Canavan,Q1189028,1999-05-06,2003-03-31,male,1942-08-08,,,Dennis Canavan
Member of the 1st Scottish Parliament,Des McNulty,Q1200458,1999-05-06,2003-03-31,male,1952-07-28,,Des McNulty.jpg,Des McNulty
Member of the 1st Scottish Parliament,Michael Matheson,Q121780,1999-05-06,2003-03-31,male,1970-09-08,,MichaelMathesonMSP20110507.JPG,Michael Matheson (politician)
Member of the 1st Scottish Parliament,John Farquhar Munro,Q1225080,1999-05-06,2003-03-31,male,1934-08-26,2014-01-26,Iain Fearchar Rothach aig SMO.jpg,John Farquhar Munro
Member of the 1st Scottish Parliament,Duncan Hamilton,Q1265397,1999-05-06,2003-03-31,male,1973,,,Duncan Hamilton (politician)
Member of the 1st Scottish Parliament,Duncan McNeil,Q1265439,1999-05-06,2003-03-31,male,1950-09-07,,DuncanMcNeilMSP20110511.JPG,Duncan McNeil
Member of the 1st Scottish Parliament,Mary Mulligan,Q1267804,1999-05-06,2003-03-31,female,1960-02-12,,MaryMulligan.jpg,Mary Mulligan
Member of the 1st Scottish Parliament,Marilyn Livingstone,Q1281543,1999-05-06,2003-03-31,female,1952-09-30,,,Marilyn Livingstone
Member of the 1st Scottish Parliament,Maureen Macmillan,Q1300245,1999-05-06,2003-03-31,female,1943-02-09,,,Maureen Macmillan
Member of the 1st Scottish Parliament,Jack McConnell,Q132040,1999-05-06,2003-03-31,male,1960-06-30,,"Official portrait of Lord McConnell of Glenscorrodale crop 2, 2019.jpg",Jack McConnell
Member of the 1st Scottish Parliament,Elaine Murray,Q1324826,1999-05-06,2003-03-31,female,1954-12-22,,ElaineMurrayMSP20110510.JPG,Elaine Murray
Member of the 1st Scottish Parliament,Elaine Thomson,Q1324835,1999-05-06,2003-03-31,female,1957,,,Elaine Thomson
Member of the 1st Scottish Parliament,Tavish Scott,Q1339371,1999-05-06,2003-03-31,male,1966-05-06,,Tavish Scott MSP at Bournemouth.jpg,Tavish Scott
Member of the 1st Scottish Parliament,Karen Whitefield,Q1344022,1999-05-06,2003-03-31,female,1970-01-08,,KarenWhitefield.jpg,Karen Whitefield
Member of the 1st Scottish Parliament,Euan Robson,Q1372069,1999-05-06,2003-03-31,male,1954-02-17,,Euan Robson.jpg,Euan Robson
Member of the 1st Scottish Parliament,John McAllion,Q1379003,1999-05-06,2003-03-31,male,1948-02-13,,,John McAllion
Member of the 1st Scottish Parliament,Helen Eadie,Q1396732,1999-05-06,2003-03-31,female,1947-03-07,2013-11-09,HelenEadieMSPPortrait.jpg,Helen Eadie
Member of the 1st Scottish Parliament,Lyndsay McIntosh,Q1404958,1999-05-06,2003-03-31,female,1955,,,Lyndsay McIntosh
Member of the 1st Scottish Parliament,Fiona Hyslop,Q1418512,1999-05-06,2003-03-31,female,1964-08-01,,Fiona Hyslop (26485977214).jpg,Fiona Hyslop
Member of the 1st Scottish Parliament,Fiona McLeod,Q1418528,1999-05-06,2003-03-31,female,1957-12-03,,FionaMcLeodMSP20110507.JPG,Fiona McLeod
Member of the 1st Scottish Parliament,Iain Gray,Q1421398,1999-05-06,2003-03-31,male,1957-06-07,,IainGrayMSP20110510.JPG,Iain Gray
Member of the 1st Scottish Parliament,Mike Rumbles,Q1436381,1999-05-06,2003-03-31,male,1956-06-10,,Mike Rumbles.jpg,Mike Rumbles
Member of the 1st Scottish Parliament,Gordon Jackson,Q1439561,1999-05-06,2003-03-31,male,1948-08-05,,GJ losing.JPG,Gordon Jackson (advocate)
Member of the 1st Scottish Parliament,Frank McAveety,Q1443752,1999-05-06,2003-03-31,male,1962-07-27,,Frank McAveety MSP (cropped).jpg,Frank McAveety
Member of the 1st Scottish Parliament,Lloyd Quinan,Q1486950,1999-05-06,2003-03-31,male,1957,,,Lloyd Quinan
Member of the 1st Scottish Parliament,Richard Lochhead,Q1490268,1999-05-06,2003-03-31,male,1969-05-24,,RichardLochhead MSP.jpg,Richard Lochhead
Member of the 1st Scottish Parliament,Alex Neil,Q1515752,1999-05-06,2003-03-31,male,1951-08-22,,AlexNeilMSP20110507.jpg,Alex Neil (politician)
Member of the 1st Scottish Parliament,Andrew Wilson,Q16213334,1999-05-06,2003-03-31,male,1970,,,Andrew Wilson (economist)
Member of the 1st Scottish Parliament,Iain Smith,Q1655380,1999-05-06,2003-03-31,male,1960-05-01,,Iain smith.jpg,Iain Smith (Scottish politician)
Member of the 1st Scottish Parliament,Alasdair Morrison,Q1669774,1999-05-06,2003-03-31,male,1968-11-18,,,Alasdair Morrison (politician)
Member of the 1st Scottish Parliament,Irene McGugan,Q1672546,1999-05-06,2003-03-31,female,1952,,,Irene McGugan
Member of the 1st Scottish Parliament,Irene Oldfather,Q1672558,1999-05-06,2003-03-31,female,1954,,,Irene Oldfather
Member of the 1st Scottish Parliament,Jamie McGrigor,Q1680794,1999-05-06,2003-03-31,male,1949-10-19,,JamieMcGrigorMSP20110509.JPG,Jamie McGrigor
Member of the 1st Scottish Parliament,Jamie Stone,Q1681420,1999-05-06,2003-03-31,male,1954-06-16,,Official portrait of Jamie Stone MP crop 2.jpg,Jamie Stone (politician)
Member of the 1st Scottish Parliament,John Home Robertson,Q1700483,1999-05-06,2003-03-31,male,1948-12-05,,Johnhomerobertson.jpg,John Home Robertson
Member of the 1st Scottish Parliament,Karen Gillon,Q1729243,1999-05-06,2003-03-31,female,1967-08-18,,KarenGillon.jpg,Karen Gillon
Member of the 1st Scottish Parliament,Kate Maclean,Q1735695,1999-05-06,2003-03-31,female,1958-02-16,,,Kate Maclean
Member of the 1st Scottish Parliament,Kay Ullrich,Q1737405,1999-05-06,2003-03-31,female,1943-05-05,2021-01-04,,Kay Ullrich
Member of the 1st Scottish Parliament,Keith Harding,Q1738052,1999-05-06,2003-03-31,male,1938,,,Keith Harding
Member of the 1st Scottish Parliament,Keith Raffan,Q1738083,1999-05-06,2003-03-31,male,1949-06-21,,,Keith Raffan
Member of the 1st Scottish Parliament,Ken Macintosh,Q1738887,1999-05-06,2003-03-31,male,1962-01-15,,Ken Macintosh 2021.jpg,Ken Macintosh
Member of the 1st Scottish Parliament,Lewis Macdonald,Q1822125,1999-05-06,2003-03-31,male,1957-01-01,,LewisMacdonaldMSP20110510.JPG,Lewis Macdonald
Member of the 1st Scottish Parliament,Malcolm Chisholm,Q1886983,1999-05-06,2003-03-31,male,1949-03-07,,Malcolm Chisholm.jpg,Malcolm Chisholm
Member of the 1st Scottish Parliament,Margaret Jamieson,Q1894852,1999-05-06,2003-03-31,female,1953,,,Margaret Jamieson
Member of the 1st Scottish Parliament,Margaret Smith,Q1894898,1999-05-06,2003-03-31,female,1961-02-18,,Margaret-SmithMSP.jpg,Margaret Smith (Scottish politician)
Member of the 1st Scottish Parliament,Mary Scanlon,Q1906394,1999-05-06,2003-03-31,female,1947-05-25,,MaryScanlonMSP20110509.JPG,Mary Scanlon (Scottish politician)
Member of the 1st Scottish Parliament,Michael Russell,Q1929110,1999-05-06,2003-03-31,male,1953-08-09,,Mike Russell SNP Conference.jpg,Michael Russell (Scottish politician)
Member of the 1st Scottish Parliament,"Mike Watson, Baron Watson of Invergowrie",Q1929744,1999-05-06,2003-03-31,male,1949-05-01,,Official portrait of Lord Watson of Invergowrie crop 2.jpg,"Mike Watson, Baron Watson of Invergowrie"
Member of the 1st Scottish Parliament,Murray Tosh,Q1953855,1999-05-06,2003-03-31,male,1950-09-01,,,Murray Tosh
Member of the 1st Scottish Parliament,Nick Johnston,Q1985419,1999-05-06,2001-08-10,male,1948-01-05,,,Nick Johnston (politician)
Member of the 1st Scottish Parliament,Nora Radcliffe,Q1996594,1999-05-06,2003-03-31,female,1946-03-04,,,Nora Radcliffe
Member of the 1st Scottish Parliament,Gil Paterson,Q200615,1999-05-06,2003-03-31,male,1942-11-11,,GilPatersonMSP20110510.JPG,Gil Paterson
Member of the 1st Scottish Parliament,Robin Harper,Q202002,1999-05-06,2003-03-31,male,1940-08-04,,RobinHarper.jpg,Robin Harper
Member of the 1st Scottish Parliament,Patricia Ferguson,Q2057182,1999-05-06,2003-03-31,female,1958-09-24,,PatriciaFergusonMSPPortrait.jpg,Patricia Ferguson
