position,person,personID,start,end,gender,DOB,DOD,image,enwiki
"Minister of Gender, Children and Social Welfare",Fatou Sanyang Kinteh,Q61946976,2019-03-01,,female,,,,Fatou Sanyang Kinteh
Minister of Health,Isatou Touray,Q27541581,2018-07-09,2019-03-27,female,1955-03-17,,Isatou Touray no Brasil.jpg,Isatou Touray
Minister of Health,Ahmadou Lamin Samateh,Q109780542,2019-03-27,,female,,,,
"Minister of Higher Education, Research, Science and Technology",Badara Joof,Q28843913,2017-02-22,,male,,,,Badara Joof
Minister of Information & Communication Infrastructure,Ebrima Sillah,Q28837890,2018-06-29,,male,,,,
Minister of the Interior,Ousman Badjie,Q2041805,1999-01-27,2003-09-29,male,,,,
Minister of the Interior,Sulayman Masanneh Ceesay,Q28941269,2003-09-29,2004-05-04,male,1939-11-23,2015-05-09,,
Minister of the Interior,Samba Bah,Q2216892,2004-05-04,2005-03-29,male,1948-12-04,2008-10-23,,
Minister of the Interior,Baboucarr Jatta,Q98594679,2005-03-29,2006-11-22,,,,,
Minister of the Interior,Ousman Sonko,Q24018735,2006-11-22,2012-04-16,male,1969-01-09,,,Ousman Sonko
Minister of the Interior,Lamin Kaba Bajo,Q174328,2012-04-16,2012-05-07,male,1964-11-10,,,Lamin Kaba Bajo
Minister of the Interior,Ousman Sonko,Q24018735,2012-05-07,2016-09-19,male,1969-01-09,,,Ousman Sonko
Minister of the Interior,Momodou Alieu Bah,Q28861463,2016-09-19,2017-01-18,male,,,,Momodou Alieu Bah
Minister of the Interior,Mai Fatty,Q28925135,2017-02-01,2017-11-10,male,,,"Handshake between Mai Ahmed Fatty, on the right, and Neven Mimica.jpg",Mai Fatty
Minister of the Interior,Habib Saihou Drammeh,Q54637664,2017-12-04,2018-01-08,male,,,,
Minister of the Interior,Ebrima Mballow,Q28940801,2018-01-08,2019-08-22,male,,,,
Minister of the Interior,Yankuba Sonko,Q28531806,2019-08-22,,male,,,Yankuba Sonko (2011).jpg,Yankuba Sonko
Minister of Justice,Ba Tambadou,Q28732952,2017-02-07,2020-06-30,male,1972-12-12,,,Abubacarr Tambadou
Minister of Justice,Dawda A. Jallow,Q96678255,2020-07-01,,male,,,,
"Minister of Lands, Regional Government and Religious Affairs",Musa Drammeh,Q55286729,2018-06-29,,male,,,,
Minister of Petroleum and Energy,Fafa Sanyang,Q29437065,2017-04-10,,male,,,,Fafa Sanyang
Minister of Tourism and Culture,Hamat Bah,Q1572664,2017-02-01,,male,,,Aid for Trade Global Review 2017 – Day 1 (35705510602).jpg,Hamat Bah
"Minister of Trade, Industry, Regional Integration and Employment",Isatou Touray,Q27541581,2017-02-01,2018-07-09,female,1955-03-17,,Isatou Touray no Brasil.jpg,Isatou Touray
"Minister of Trade, Industry, Regional Integration and Employment",Seedy Keita,Q109780728,2020-11-02,,male,,,,
"Minister of Transport, Works and Infrastructure",Bai Lamin Jobe,Q28843665,2017-02-22,,male,,,,
Minister of Women's Affairs,Isatou N’jie-Saidy,Q467531,1996-07,2017-01-18,female,1952-03-05,,"Isatou Njie Saidy, Gambia vice-president 2006.jpg",Isatou Njie-Saidy
Minister of Women's Affairs,Fatoumata Tambajang,Q1398236,2017-02-22,2018-06-29,female,1949-10-22,,Aid for Trade Global Review 2017 – Day 3 (35059631424).jpg,Fatoumata Tambajang
Minister of Women's Affairs,Ousainou Darboe,Q710820,2018-06-29,2019-03-15,male,1948-08-08,,Ousainou Darboe 2018.jpg,Ousainou Darboe
Minister of Youth and Sports,Bakary Y. Badjie,Q109780626,2020-10-01,,male,,,,
Attorney General,Ba Tambadou,Q28732952,2017-02-07,2020-06-30,male,1972-12-12,,,Abubacarr Tambadou
Attorney General,Dawda A. Jallow,Q96678255,2020-07-01,,male,,,,
Speaker of the National Assembly,Mariam Jack-Denton,Q29580200,2017-04-11,,female,1955-12-29,,,Mariam Jack-Denton
Governor of the Central Bank,Buah Saidy,Q99889099,2020-10-01,,male,,,,
Chief Justice,Emmanuel Fagbenle,Q47005367,2015-05-13,2017-01-20,male,,,,Emmanuel Fagbenle
Chief Justice,Hassan Bubacar Jallow,Q176771,2017-02-15,,male,1951-08-14,,Hassan Jallow 2016.png,Hassan Bubacar Jallow
Chief of Defence Staff,Masaneh Kinteh,Q28530077,2009-10-09,2012-07-06,male,1968-08-13,,Masaneh Kinteh.jpg,Masaneh Kinteh
Chief of Defence Staff,Masaneh Kinteh,Q28530077,2017-02-27,2020-03-05,male,1968-08-13,,Masaneh Kinteh.jpg,Masaneh Kinteh
Chief of Defence Staff,Yankuba Drammeh,Q30893871,2020-03-05,,male,,,,Yankuba Drammeh
