position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
Minister of State for Youth and Engagement,Sarah El Haïry,Q30343245,2020-07-26,female,1989-03-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sarah-El-Ha%C3%AFry.jpg
"Minister of State for the Social, Inclusive and Responsible Economy",Olivia Grégoire,Q30349408,2020-07-01,female,1978-09-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Olivia%20Gr%C3%A9goire%204.jpg
Minister of Territorial Development,Jacqueline Gourault,Q3157735,2018-10-16,female,1950-11-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Informal%20meeting%20of%20justice%20and%20home%20affairs%20ministers.Arrivals%20%28Home%20Affairs%29%20Jacqueline%20Gourault%20%2834910260564%29%20%28cropped%29.jpg
Minister for Transport,Jean-Baptiste Djebbari,Q30343005,2019-09-03,male,1982-02-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Djebbari%20-%202019%20%28cropped%29.jpg
Head of the Minister of Defence's military cabinet,Fabien Mandon,Q97966824,2020-09-01,male,,,,,
Head of the Prime Minister's military cabinet,Franck Barrera,Q107724962,2021-07-31,male,,,,,
Minister Delegate for Citizenship,Marlène Schiappa,Q20807844,2020-07-01,female,1982-11-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Marl%C3%A8ne%20Schiappa%2C%20secr%C3%A9taire%20d%27Etat%20%C3%A0%20l%27%C3%A9galit%C3%A9%20entre%20les%20femmes%20et%20les%20hommes.jpg
"Minister Delegate for Gender Equality, Diversity and Equal Opportunities",Elisabeth Moreno,Q64373817,2020-07-06,female,1970-09-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Photographie%20Elisabeth%20Moreno.jpg
Minister Delegate for Housing,Emmanuelle Wargon,Q33142338,2020-07-01,female,1971-02-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Emmanuelle%20Wargon.jpg
Minister Delegate for Industry,Agnès Pannier-Runacher,Q33230494,2020-07-01,female,1974-06-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Agn%C3%A8s%20Pannier-Runacher%20portrait%202.jpg
Minister Delegate for Integration,Brigitte Klinkert,Q63764562,2020-07-06,female,1956-07-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brigitte%20Klinkert%20en%202021.jpg
Minister Delegate for Personal Independence,Brigitte Bourguignon,Q2925411,2020-07-06,female,1959-03-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brigitte%20Bourguignon.jpg
Minister Delegate for Public Accounts,Olivier Dussopt,Q2020823,2017-11-24,male,1978-08-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20Dussopt.jpg
Minister Delegate for Remembrance and Veterans,Geneviève Darrieussecq,Q3100615,2020-07-01,female,1956-03-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Genevi%C3%A8ve%20Darrieussecq%20-%202017.jpg
Minister Delegate for Small and Medium-sized Enterprises,Alain Griset,Q33280111,2020-07-01,male,1953-05-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alain%20Griset%20%28cropped%29.jpg
Minister Delegate for Sport,Roxana Maracineanu,Q446170,2020-07-06,female,1975-05-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Roxana%20Maracineanu%20-%202018%20%28cropped%29.jpg
Secretary of State for Digital Affairs,Cédric O,Q33103571,2019-03-31,male,1982-12-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/20190401%20Cedric%20O%20Portraits%20PhotoG%C3%A9zelinGr%C3%A9e%2002.jpg
Secretary of State for Parliamentary Affairs,Marc Fesneau,Q6755549,2020-07-01,male,1971-01-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Fesneau%20%282015%29.jpg
President of the Senate,Gérard Larcher,Q784021,2014-10-01,male,1949-09-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9rard%20Larcher%202009.jpg
President of the National Assembly,Richard Ferrand,Q3430759,2018-09-12,male,1962-07-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Ferrand%202008.jpg
Government Spokesperson,Gabriel Attal,Q30339350,2020-07-06,male,1989-03-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/ATTAL%20Gabriel%20-%2020200916.jpg
Chief of Staff of the Army,Pierre Schill,Q107273969,2021-07-22,male,1967-09-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20g%C3%A9n%C3%A9ral%20Pierre%20Schill.jpg
High Commissioner for Planning,François Bayrou,Q12963,2020-09-03,male,1951-05-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/BayrouEM.jpg
Governor of the Banque de France,François Villeroy de Galhau,Q3086015,2015-11-01,male,1959-02-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Villeroy%20de%20Galhau.jpg
