position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
Minister of Education,Dharmendra Pradhan,Q5269370,2021-07-07,male,1969-06-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dharmendra%20Pradhan%20%E0%AC%A7%E0%AC%B0%E0%AD%8D%E0%AC%AE%E0%AD%87%E0%AC%A8%E0%AD%8D%E0%AC%A6%E0%AD%8D%E0%AC%B0%20%E0%AC%AA%E0%AD%8D%E0%AC%B0%E0%AC%A7%E0%AC%BE%E0%AC%A8.jpg
Minister of Electronics and Information Technology,Ashwini Vaishnaw,Q75184694,2021-07-07,male,1970-07-18,11,,,
Minister of Environment and Forests,Bhupender Yadav,Q16208337,2021-07-07,male,1969-06-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhupender%20Yadav%20BJP.jpg
Minister of External Affairs,Subrahmanyam Jaishankar,Q16186720,2019-05-30,male,1955-01-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Subrahmanyam%20Jaishankar%202014.jpg
Minister of Finance,Nirmala Sitaraman,Q7040049,2019-05-31,female,1959-08-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nirmala%20Sitharaman%20-%202018%20%2846166396231%29%20%28cropped%29.jpg
"Minister of Fisheries, Animal Husbandry and Dairying",Parsottambhai Rupala,Q7140070,2021-07-07,male,1954-10-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Parshottam%20Rupala%20addressing%20the%20inaugural%20session%20of%20the%20International%20Symposium%20on%20Drafting%20a%20National%20Policy%20on%20Medicinal%20and%20Aromatic%20Plants%20of%20India%2C%20in%20New%20Delhi.jpg
Minister of Food Processing Industries,Pashupati Kumar Paras,Q28227517,2021-07-07,female,1953-01-01,9,,,
Minister of Foreign Affairs,Harsh Vardhan Shringla,Q23304224,2020-01-29,male,1962-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/2019-04-28%20Ambassador%20Shringla%20-%20NCAIA%20reception.jpg
Minister of Health and Family Welfare,Mansukh L. Mandaviya,Q21170728,2021-07-07,male,1972-06-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mansukh%20L.%20Mandaviya%20addressing%20at%20the%20launch%20of%20the%20%E2%80%98Janaushadhi%20Suvidha%20-%20Oxo-Biodegradable%20Sanitary%20Napkins%E2%80%99%20under%20the%20%E2%80%98Pradhan%20Mantri%20Bhartiya%20Janaushadhi%20Pariyojana%20%28PMBJP%29%E2%80%99%2C%20in%20New%20Delhi.JPG
Minister of Heavy Industries and Public Enterprises,Mahendra Nath Pandey,Q16902198,2021-07-07,male,1957-10-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mahendra%20Nath%20Pandey%20addressing%20at%20the%20inauguration%20of%20the%20%E2%80%98National%20Consultation%20on%20Revised%20Accreditation%20Framework%E2%80%99%2C%20organised%20by%20the%20National%20Assessment%20and%20Accreditation%20Council%20%28NAAC%29%2C%20in%20New%20Delhi.jpg
Minister of Home Affairs,Amit Shah,Q4746875,2019-05-30,male,1964-10-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Amit%20Shah%20new.jpg
Minister of Information and Broadcasting,Anurag Thakur,Q4777895,2021-07-07,male,1974-10-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anurag%20Thakur.jpg
Minister of Jal Shakti,Gajendrasingh Shekhawat,Q16914124,2019-05-30,male,1967-10-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Minister%20of%20State%20for%20Agriculture%20and%20Farmers%20Welfare%2C%20Shri%20Gajendra%20Singh%20Shekhawat%20addressing%20a%20press%20conference%2C%20at%20Asansol%2C%20in%20West%20Bengal%20on%20June%2003%2C%202018.JPG
Minister of Labour and Employment,Bhupender Yadav,Q16208337,2021-07-07,male,1969-06-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhupender%20Yadav%20BJP.jpg
Minister of Law and Justice,Kiren Rijiju,Q6415053,2021-07-07,male,1971-11-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Minister%20of%20State%20for%20Home%20Affairs%2C%20Shri%20Kiren%20Rijiju%20addressing%20the%20%E2%80%98India%20Disaster%20Response%20Summit%E2%80%99%2C%20in%20New%20Delhi%20on%20November%2009%2C%202017.jpg
"Minister of Micro, Small and Medium Enterprises",Narayan Rane,Q3631470,2021-07-07,male,1952-04-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Narayan%20Rane%20%28cropped%29.jpg
Minister of Mines,Pralhad Joshi,Q7238224,2019-05-30,male,1962-11-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%B2%B6%E0%B3%8D%E0%B2%B0%E0%B3%80%20%E0%B2%AA%E0%B3%8D%E0%B2%B0%E0%B2%B2%E0%B3%8D%E0%B2%B9%E0%B2%BE%E0%B2%A6%20%E0%B2%9C%E0%B3%8B%E0%B2%B6%E0%B2%BF.JPG
Minister of Minority Affairs,Mukhtar Abbas Naqvi,Q6933491,2016-07-12,male,1957-10-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mukhtar%20Abbas%20Naqvi%20addressing%20a%20press%20conference%20on%20the%20achievements%20of%20the%20Ministry%20of%20Minority%20Affairs%2C%20during%203%20years%20of%20NDA%20Government%2C%20in%20New%20Delhi.jpg
Minister of New and Renewable Energy,R. K. Singh,Q16185592,2017-09-03,male,1952-12-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Minister%20of%20State%20%28IC%29%20for%20Power%20and%20New%20and%20Renewable%20Energy%2C%20Shri%20Raj%20Kumar%20Singh%20addressing%20a%20Curtain%20Raiser%20Press%20Conference%20regarding%202nd%20Global%20RE-invest%2C%20in%20New%20Delhi%20on%20September%2025%2C%202018%20%28cropped%29.JPG
Minister of Panchayati Raj,Giriraj Singh,Q16736894,2021-07-07,male,1952-09-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Giriraj%20Singh%20addressing%20a%20press%20conference%20on%20the%20achievements%20of%20the%20Ministry%20of%20Micro%2C%20Small%20%26%20Medium%20Enterprises%2C%20during%20the%20last%20four%20years%2C%20in%20New%20Delhi.JPG
Minister of Parliamentary Affairs,Pralhad Joshi,Q7238224,2019-05-30,male,1962-11-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%B2%B6%E0%B3%8D%E0%B2%B0%E0%B3%80%20%E0%B2%AA%E0%B3%8D%E0%B2%B0%E0%B2%B2%E0%B3%8D%E0%B2%B9%E0%B2%BE%E0%B2%A6%20%E0%B2%9C%E0%B3%8B%E0%B2%B6%E0%B2%BF.JPG
Minister of Petroleum and Natural Gas,Hardeep Singh Puri,Q5655835,2021-07-07,male,1952-02-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hardeep%20Singh%20Puri%20-%202018%20%2845176824921%29%20%28cropped%29.jpg
"Minister of Ports, Shipping and Waterways",Sarbananda Sonowal,Q7423486,2021-07-07,male,1962-10-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chief%20Minister%20of%20Assam%20Sarbananda%20Sonowal.jpg
Minister of Power,R. K. Singh,Q16185592,2017-09-03,male,1952-12-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Minister%20of%20State%20%28IC%29%20for%20Power%20and%20New%20and%20Renewable%20Energy%2C%20Shri%20Raj%20Kumar%20Singh%20addressing%20a%20Curtain%20Raiser%20Press%20Conference%20regarding%202nd%20Global%20RE-invest%2C%20in%20New%20Delhi%20on%20September%2025%2C%202018%20%28cropped%29.JPG
Minister of Railways,Ashwini Vaishnaw,Q75184694,2021-07-07,male,1970-07-18,11,,,
Minister of Road Transport and Highways,Nitin Gadkari,Q3504520,2014-05-26,male,1957-05-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nitin%20Gadkari.jpg
Minister of Rural Development,Giriraj Singh,Q16736894,2021-07-07,male,1952-09-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Giriraj%20Singh%20addressing%20a%20press%20conference%20on%20the%20achievements%20of%20the%20Ministry%20of%20Micro%2C%20Small%20%26%20Medium%20Enterprises%2C%20during%20the%20last%20four%20years%2C%20in%20New%20Delhi.JPG
Minister of Skill Development and Entrepreneurship,Dharmendra Pradhan,Q5269370,2021-07-07,male,1969-06-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dharmendra%20Pradhan%20%E0%AC%A7%E0%AC%B0%E0%AD%8D%E0%AC%AE%E0%AD%87%E0%AC%A8%E0%AD%8D%E0%AC%A6%E0%AD%8D%E0%AC%B0%20%E0%AC%AA%E0%AD%8D%E0%AC%B0%E0%AC%A7%E0%AC%BE%E0%AC%A8.jpg
Minister of Social Justice and Empowerment,Virendra Kumar Khatik,Q7933694,2021-07-07,male,1954-02-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Virendra%20Kumar%20releasing%20the%20compilation%20of%20speeches%2C%20written%20by%20children%20of%20CCIs%2C%20at%20the%20closing%20ceremony%20of%20the%20weeklong%20festival%20%E2%80%98Hausla%202017%E2%80%99%2C%20in%20New%20Delhi.jpg
Minister of Steel,RCP Singh,Q18720206,2021-07-07,male,1958-07-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RCP%20Singh%20jpg.jpg
Minister of Textiles,Piyush Goyal,Q7199798,2021-07-07,male,1964-06-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Piyush%20Goyal%20%28cropped%29.jpg
Minister of Tourism,G. Kishan Reddy,Q5512319,2021-07-07,male,1964-06-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/G.%20Kishan%20Reddy.jpg
Minister of Tribal Affairs,Arjun Munda,Q3520052,2019-05-30,male,1968-01-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Arjun%20Munda%208992.JPG
Minister of Urban Development,Hardeep Singh Puri,Q5655835,2017-09-03,male,1952-02-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hardeep%20Singh%20Puri%20-%202018%20%2845176824921%29%20%28cropped%29.jpg
Minister of Women and Child Development,Smriti Irani,Q7546539,2019-05-31,female,1976-03-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Union%20Minister%20for%20Textiles%20and%20Information%20%26%20Broadcasting%2C%20Smt.%20Smriti%20Irani%20interacting%20with%20the%20media%20regarding%20the%20cabinet%20approval%20for%20the%20Integrated%20Scheme%20for%20Development%20of%20Silk%20Industry%2C%20in%20New%20Delhi%20%281%29.jpg
Minister of Youth Affairs and Sports,Anurag Thakur,Q4777895,2021-07-07,male,1974-10-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anurag%20Thakur.jpg
Cabinet Secretary,Pradeep Kumar Sinha,Q20859469,2015-06-13,male,1955-07-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pradeep%20Kumar%20Sinha%2C%20IAS%20addressing%20at%20the%20inauguration%20of%20the%20National%20Meet%20on%20Promoting%20Space%20Technology%20based%20Tools%20and%20Applications%20in%20Governance%20and%20Development.jpg
Home Secretary,Ajay Kumar Bhalla,Q84214668,2019-08-22,male,,,,,
Principal Secretary to the Prime Minister,Pramod Kumar Misra,Q38410113,2019-09-11,male,1948-08-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/P.%20K.%20Misra%2C%20IAS%20%28cropped%29.jpg
Chief Justice,N. V. Ramana,Q15705785,2021-04-24,male,1957-08-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Justice%20N.V.%20Ramana.jpg
Chief of Defence Staff,Bipin Rawat,Q4915447,2020-01-01,male,1958-03-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bipin%20Rawat%20COAS.jpg
Director of the Intelligence Bureau,Arvind Kumar,Q64945481,2019-06-30,male,,,,,
Chief Election Commissioner,Sushil Chandra,Q106481418,2021-04-13,male,1957-05-15,11,,,
Election Commissioner,Anup Chandra Pandey,Q58010542,2021-06-09,male,1959-02-15,11,,,
Governor of the Reserve Bank,Urjit Patel,Q14623534,2016-09-04,male,1963-10-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Urjit%20Patel.jpg
Speaker of the Lok Sabha,Om Birla,Q7089335,2019-06-19,male,1962-12-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Om%20Birla%20%282021%29%20%28cropped%29.jpg
Leader of the House in Rajya Sabha,Piyush Goyal,Q7199798,2021-07-14,male,1964-06-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Piyush%20Goyal%20%28cropped%29.jpg
Leader of the House in Lok Sabha,Narendra Modi,Q1058,2019-05-23,male,1950-09-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Narendra%20Modi%202021%20%28cropped%29.jpg
Governor of Andhra Pradesh,Biswabhusan Harichandan,Q61556023,2019-07-24,male,1934-08-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Governor%20of%20Andhra%20Pradesh%2C%20Shri%20Biswabhusan%20Harichandan.jpg
Chief Minister of Andhra Pradesh,Y. S. Jaganmohan Reddy,Q3531971,2019-05-30,male,1972-12-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ys-jagan-mohan-reddy.webp
Governor of Arunachal Pradesh,B. D. Mishra,Q41694037,2017-10-03,male,1939-07-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20of%20Arunachal%20Pradesh%20B.D.%20Mishra.jpg
Chief Minister of Arunachal Pradesh,Pema Khandu,Q7161834,2016-07-17,male,1979-08-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pema%20Khandu%20in%20July%202016.jpg
Governor of Assam,Jagdish Mukhi,Q6122326,2017-10-10,male,1942-12-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lt.%20Governor%20of%20Andaman%20%26%20Nicobar%20Islands%20Prof.%20Jagdish%20Mukhi.jpg
Chief Minister of Assam,Himanta Biswa Sarma,Q5765114,2021-05-10,male,1969-02-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/HBSarma.jpg
Governor of Bihar,Fagu Chauhan,Q30109908,2019-07-29,male,1948-01-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Phagu%20Chauhan.jpg
Chief Minister of Bihar,Nitish Kumar,Q122304,2017-07-27,male,1951-03-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nitish%20Kumar%20%28cropped%29.JPG
Governor of Chhattisgarh,Anusuiya Uikey,Q4777946,2019-07-29,female,1957-04-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Governor%20of%20Chhattisgarh%2C%20Ms.%20Anusuiya%20Uikey.jpg
Chief Minister of Chhattisgarh,Bhupesh Baghel,Q4902181,2018-12-17,male,1961-08-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhupesh%20Baghel%2C%20June%202018.jpg
Chief Minister of Delhi,Arvind Kejriwal,Q59155,2015-02-14,male,1968-08-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Arvind%20Kejriwal%20September%2002%2C%202017%20crop.jpg
Governor of Goa,P. S. Sreedharan Pillai,Q6815509,2021-07-15,male,1953-12-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/PS%20Sreedharan%20Pillai.jpg
Chief Minister of Goa,Pramod Sawant,Q28222879,2019-03-19,male,1973-04-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/MLA%20Pramod%20Sawant%20%2825249063679%29.jpg
Governor of Gujarat,Acharya Dev Vrat,Q20781437,2019-07-22,male,1959-01-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20of%20Himachal%20Pradesh%20Acharya%20Dev%20Vrat.jpg
Chief Minister of Gujarat,Bhupendrabhai Patel,Q48732972,2021-09-12,male,1962-07-15,11,,,
Governor of Haryana,Bandaru Dattatreya,Q4854461,2021-07-07,male,1947-02-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bandaru%20dattatreya.jpg
Chief Minister of Haryana,Manohar Lal Khattar,Q18336221,2014-10-26,male,1954-05-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Manohar%20Lal%20Khattar%20in%202015.jpg
Governor of Himachal Pradesh,Rajendra Arlekar,Q15960598,2021-07-13,male,1954-04-23,11,,,
Chief Minister of Himachal Pradesh,Jai Ram Thakur,Q6123452,2017-12-27,male,1965-01-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/JRThakur.jpg
Governor of Jharkhand,Ramesh Bais,Q7289378,2021-07-14,male,1947-08-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Governor%20of%20Tripura%2C%20Shri%20Ramesh%20Bais.jpg
Chief Minister of Jharkhand,Hemant Soren,Q13619621,2019-12-29,male,1975-08-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hemant%20Soren%209039.JPG
Governor of Karnataka,Thawar Chand Gehlot,Q7711496,2021-07-11,male,1948-05-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Thaawar%20Chand%20Gehlot%20addressing%20at%20the%20distribution%20ceremony%20of%20the%20aids%20and%20assistive%20devices%20to%20the%20students%20with%20visual%20impairments%20under%20ADIP%20scheme%20of%20the%20Ministry%20of%20Social%20Justice%20%26%20Empowerment.jpg
Chief Minister of Karnataka,Basavaraj Bommai,Q4866288,2021-07-28,male,1960-01-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Basavaraj%20bommai.jpg
Governor of Kerala,Arif Mohammad Khan,Q4790546,2019-09-06,male,1951-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20Arif%20Mohammad%20Khan.jpg
Chief Minister of Kerala,Pinarayi Vijayan,Q3595385,2016-05-25,male,1944-03-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pinarayi%20Vijayan.jpg
Governor of Madhya Pradesh,Mangubhai C. Patel,Q17517188,2021-07-06,male,1944-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mangubhai%20C.%20Patel%20%28cropped%29.jpg
Chief Minister of Madhya Pradesh,Shivraj Singh Chauhan,Q3180602,2020-03-23,male,1959-03-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Shivraj%20Singh%20Chauhan.jpg
Governor of Maharashtra,Bhagat Singh Koshiyari,Q4900607,2019-09-05,male,1942-06-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhagatsinghkoshyari.jpg
Chief Minister of Maharashtra,Uddhav Thackeray,Q3634346,2019-11-28,male,1960-07-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Chief%20Minister%20of%20Maharashtra%2C%20Shri%20Uddhav%20Thackeray%20calling%20on%20the%20Prime%20Minister%2C%20Shri%20Narendra%20Modi%2C%20in%20New%20Delhi%20on%20February%2021%2C%202020%20%28Uddhav%20Thackeray%29%20%28cropped%29.jpg
Governor of Manipur,La Ganesan,Q6462710,2021-08-27,male,1945-02-17,11,,,
Chief Minister of Manipur,Nongthombam Biren Singh,Q7049407,2017-03-15,male,1961-01-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/N.%20Biren%20Singh.jpg
Governor of Meghalaya,Satya Pal Malik,Q7426876,2020-08-18,male,1946-07-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20of%20Bihar%20Satya%20Pal%20Malik.jpg
Chief Minister of Meghalaya,Conrad Sangma,Q5162596,2018-03-06,male,1977-01-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Conrad-Sangma%20.png
Governor of Mizoram,Kambhampati Hari Babu,Q16897892,2021-07-19,male,1953-06-15,11,,,
Chief Minister of Mizoram,Pu Zoramthanga,Q1362153,2018-12-15,male,1944-07-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Zoramthanga%20in%202008.jpg
Governor of Nagaland,Jagdish Mukhi,Q6122326,2021-09-17,male,1942-12-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lt.%20Governor%20of%20Andaman%20%26%20Nicobar%20Islands%20Prof.%20Jagdish%20Mukhi.jpg
Chief Minister of Nagaland,Neiphiu Rio,Q3530214,2018-03-08,male,1950-11-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/NeiphiuRio.jpg
Governor of Odisha,Ganeshi Lal,Q54165683,2018-05-29,male,1942-03-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Prof.%20Ganeshi%20Lal.jpg
Chief Minister of Odisha,Naveen Patnaik,Q1190856,2000-03-05,male,1946-10-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Naveen%20Patnaik%20CMO%2002.jpg
Chief minister of Puducherry,N. Rangaswamy,Q599267,2021-05-07,male,1950-08-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/N.%20Rangaswamy.jpg
Governor of Punjab,Banwarilal Purohit,Q4857338,2021-08-31,male,1940-04-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20of%20Assam%20Banwarilal%20Purohit.jpg
Chief Minister of Punjab,Charanjit Singh Channi,Q5073934,2021-09-20,male,1972-04-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Charanjit%20Singh%20Channi.jpg
Governor of Rajasthan,Kalraj Mishra,Q6354410,2019-09-09,male,1941-07-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kalraj%20Mishra%20Minister.jpg
Chief Minister of Rajasthan,Ashok Gehlot,Q3345004,2018-12-17,male,1951-05-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mr.%20Ashok%20Gehlot%2C%20Chief%20Minister%2C%20Rajasthan.%20India.JPG
Governor of Sikkim,Ganga Prasad,Q42308903,2018-08-26,male,1937-07-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ganga%20Prasad%20in%20July%202018%20%28portrait%29.JPG
Chief Minister of Sikkim,Prem Singh Tamang,Q23879743,2019-05-27,male,1968-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Prem%20Singh%20Tamang.jpg
Governor of Tamil Nadu,R. N. Ravi,Q67179816,2021-09-18,male,1952-04-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Governor%20of%20Nagaland%2C%20Shri%20R.N.%20Ravi.jpg
Chief Minister of Tamil Nadu,M. K. Stalin,Q983475,2021-05-07,male,1953-03-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hon%20CM%20Photo.jpg
Governor of Telangana,Tamilisai Soundararajan,Q17198781,2019-09-08,female,1961-06-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dr-Tamilisai-Soundararajan.jpg
Chief Minister of Telangana,K. Chandrashekar Rao,Q33168,2014-06-02,male,1954-02-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kalvakuntla%20Chandrashekar%20Rao.png
Governor of Tripura,Satyadeo Narain Arya,Q20312274,2021-07-07,male,1939-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20of%20Haryana%20Satyadev%20Narayan%20Arya%20in%20August%202018.JPG
Chief Minister of Tripura,Biplab Kumar Deb,Q47463042,2018-03-09,male,1971-11-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Biplab%20Kumar%20Deb%20CM%20Tripura.png
Governor of Uttar Pradesh,Anandiben Patel,Q4751365,2019-07-29,female,1941-11-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anandiben%20Patel%20BJP.jpg
Chief Minister of Uttar Pradesh,Yogi Adityanath,Q4683097,2017-03-19,male,1972-06-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Yogi%20Adityanath.jpg
Governor of Uttarakhand,Gurmit Singh,Q108553289,2021-09-15,male,,,,,
Chief Minister of Uttarakhand,Pushkar Singh Dhami,Q28370220,2021-07-04,male,1975-09-16,11,,,
