id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q21934050,Zurab Margania,male,,,,,,Zurab Margania
Q21934112,Marina Pilia,female,,,,,,Marina Pilia
Q21934262,David Gunba,male,,,,,,David Gunba
Q26211009,Beslan Bartsits,male,1978-07-22,11,,,Беслан Барциц 1.jpg,Beslan Bartsits
Q26251609,Dmitri Shamba,male,1981-12-06,11,,,,Dmitri Shamba
Q26465311,Beslan Eshba,male,1967-12-23,11,,,,Beslan Eshba
Q26465386,Aslan Kobakhia,male,1960-03-23,11,,,,Aslan Kobakhia
Q26704968,Ruslan Ajba,male,1975,9,,,,Ruslan Ajba
Q27734978,Daur Kurmazia,male,1974-08-24,11,,,,Daur Kurmazia
Q27829055,Daur Arshba,male,1962-03-28,11,,,,Daur Arshba
Q27881276,Daur Kove,male,1979-03-15,11,,,,Daur Kove
Q2996248,Leonid Lakerbaia,male,1947-01-01,11,,,,Leonid Lakerbaia
Q313353,Vladislav Ardzinba,male,1945-05-14,11,2010-03-04,11,Vladislav Ardzinba 1996 Abkhazia stamp portrait only.jpg,Vladislav Ardzinba
Q313355,Alexander Ankvab,male,1952-12-26,11,,,Alexander Ankvab - 06.10.2011.jpg,Alexander Ankvab
Q3596044,Viacheslav Tsugba,male,1944-01-01,11,,,,Viacheslav Tsugba
Q3596046,Daur Tarba,male,1959,9,,,Daur Tarba.jpg,Daur Tarba
Q39082691,Adgur Ardzinba,male,1981-12-26,11,,,Adgur Ardzinba.jpg,Adgur Ardzinba
Q4057171,Zurab Agumava,male,1961,9,,,,Zurab Agumava
Q4057556,Shamil Adzynba,male,1970-05-21,11,,,,Shamil Adzynba
Q4080376,Valeri Bganba,male,1953-08-26,11,,,Бганба Валерий Рамшухович.jpg,Valeri Bganba
Q4086139,Aslan Bzhania,male,1963-04-06,11,,,Aslan Bzhania (2020-06-24).jpg,Aslan Bzhania
Q4133985,Avtandil Gartskiya,male,1959-05-24,11,,,Автандил Зефикович.jpg,Avtandil Gartskia
Q4152132,Badr Gunba,male,1981-08-14,11,,,,Badr Gunba
Q4157034,Vladimir Delba,male,1974-09-26,11,,,,Vladimir Delba
Q4160199,Anri Jergenia,male,1941-08-08,11,2020-01-05,11,,Anri Jergenia
Q4160952,Leonid Dzapshba,male,1961-01-01,11,,,,Leonid Dzapshba
Q4222703,Mirab Kishmaria,male,1961-08-03,11,,,Мираб Борисович Кишмария.jpg,Mirab Kishmaria
Q4250548,Almasbei Kchach,male,1958-09-19,11,2012-04-17,11,,Almasbei Kchach
Q4265227,Mikhail Logua,male,1970-07-27,11,,,Михаил Валерьевич Логуа.jpg,Mikhail Logua
Q4265229,Nugzar Logua,male,1956-04-20,11,,,,Nugzar Logua
Q4292976,Vladimir Mikanba,male,1931-09-23,11,2010-02-21,11,,Vladimir Mikanba
Q4340240,Gueorgui Otyrba,male,,,,,,Gueorgui Otyrba
Q4429490,Sultan Sosnaliyev,male,1942-04-23,11,2008-11-22,11,Sultan Sosnaliyev 2009 stamp of Abkhazia.jpg,Sultan Sosnaliyev
Q4496777,Nodar Khashba,male,1951-10-01,11,,,Nodar Khashba.png,Nodar Khashba
Q4497422,Otar Khetsia,male,1965-02-19,11,,,,Otar Khetsia
Q4505729,Rauf Tsimtsba,male,1956-11-23,11,,,,Rauf Tsimtsba
Q4516175,Viacheslav Chirikba,male,1959-03-17,11,,,,Viacheslav Chirikba
Q4533378,"Эшба, Вячеслав Ахметович",male,1949-03-13,11,,,,
Q467259,Valery Arshba,male,1949-10-04,11,,,,Valery Arshba
Q467261,Gennady Gagulia,male,1948-01-04,11,2018-09-08,11,Gennadi Gagulia.jpg,Gennadi Gagulia
Q485032,Sergei Bagapsh,male,1949-03-04,11,2011-05-29,11,Sergei Bagapsh (Interfax).jpg,Sergei Bagapsh
Q58314,Maxim Gvinjia,male,1976-03-13,11,,,,Maxim Gvinjia
Q737435,Sergei Shamba,male,1951-03-15,11,,,,Sergei Shamba
Q829940,Beslan Butba,male,1960-02-07,11,,,,Beslan Butba
Q983327,Igor Akhba,male,1949-02-05,11,,,Igor Akhba (cropped 3x4).jpeg,Igor Akhba
