title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
"Minister for Industry, Business and Financial Affairs",2019-06-27,Q12335355,Simon Kollerup,male,1986-05-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Kollerup%20Klimatopm%C3%B8de%20Lifescience%20Christiansborg%20290120%20%2849464411496%29%20%28cropped%29.jpg
Minister of Justice,2019-06-27,Q645613,Nick Hækkerup,male,1968-04-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nick%20H%C3%A6kkerup.jpg
Minister for Labour,2019-06-27,Q12331581,Peter Hummelgaard Thomsen,male,1983-01-17,11,,,
Minister for Nordic Co-operation,2020-11-19,Q12311591,Flemming Møller Mortensen,male,1963-07-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/GC%20ministermote%2020210901%200048%20%2851419178398%29%20%28cropped%29.jpg
"Minister for Refugees, Immigrants and Integration",2019-06-27,Q12326451,Mattias Tesfaye,male,1981-03-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mattias%20Tesfaye%2020120414.jpg
Minister of Social Affairs of Denmark,2019-06-27,Q463680,Astrid Krag,female,1982-11-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Astrid%20Krag.jpg
Minister of Tax,2019-06-27,Q375980,Morten Bødskov,male,1970-05-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Morten%20B%C3%B8dskov%20Web%201983-new-web%20240x271.jpg
Minister of Transport,2019-06-27,Q12303134,Benny Engelbrecht,male,1970-08-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Benny%20Engelbrecht.jpg
Minister for Urban Development,2019-06-27,Q20175887,Kaare Dybvad Bek,male,1984-08-05,11,,,
Speaker of the Folketing,2019-06-21,Q1358896,Henrik Dam Kristensen,male,1957-01-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Henrik%20Dam%20Kristensen.jpg
Chief of Defence,2020-12-01,Q100262012,Flemming Lentfer,male,1964-03-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/LENTFER%20portr%C3%A6t%202%20hig%20res%20FOTO%20FMI.jpg
Chief of the Royal Danish Army,2021-05-15,Q106825491,Gunner Arpe Nielsen,male,1967-02-20,11,,,
National Chief of Police,2020-03-01,Q89358501,Thorkild Fogde,male,1965-07-18,11,,,
Governor of the Danish Nationalbank,2013-02-01,Q12323904,Lars Rohde,male,1954-03-21,11,,,
Prime Minister of the Faroe Islands,2019-09-16,Q853551,Bárður á Steig Nielsen,male,1972-04-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bardur%20Nielsen.jpg
Lord Mayor of Copenhagen,2020-10-19,Q100596915,Lars Weiss,male,1971-05-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/2013%20Lars%20Weiss%20%288643269112%29%20%28cropped%29.jpg
