title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
Minister for Resources and Water,2020-02-06,Q16206609,Keith Pitt,male,1969-08-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Keith%20Pitt%20Portrait%202013.jpg
Minister for Science and Technology,2021-10-01,Q16195275,Melissa Price,female,1963-12-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Melissa%20Price%20MP.jpg
Minister for Senior Australians and Aged Care Services,2020-12-22,Q7324825,Richard Colbeck,male,1958-04-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Colbeck.jpg
Minister for Small Business,2021-03-30,Q7627022,Stuart Robert,male,1970-12-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Stuart%20Robert%202015.jpg
Minister for Social Services,2019-05-29,Q4768766,Anne Ruston,female,1963-06-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anne%20Ruston%202018-11-21.jpg
Minister for Sport,2020-12-22,Q7324825,Richard Colbeck,male,1958-04-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Colbeck.jpg
"Minister for Superannuation, Financial Services and the Digital Economy",2020-12-22,Q26703243,Jane Hume,female,1971-04-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Senator%20Jane%20Hume.png
Minister for Trade,2020-12-18,Q5214486,Dan Tehan,male,1968-01-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dan%20Tehan%20speaks%20with%20outside%20supporters%20%2822298134110%29%20%28cropped%29.jpg
Minister for Veterans' Affairs,2021-06-21,Q4757071,Andrew Gee,male,1968-09-13,11,,,
Minister for Women's Economic Security,2021-03-30,Q26703243,Jane Hume,female,1971-04-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Senator%20Jane%20Hume.png
Minister for the Status of Women,2019-05-29,Q16191011,Marise Payne,female,1964-07-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Australian%20Foreign%20Minister%20Marise%20Payne%20%2848449521096%29%20%28cropped%29.jpg
Minister for Women's Safety,2019-05-29,Q4768766,Anne Ruston,female,1963-06-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anne%20Ruston%202018-11-21.jpg
Special Minister of State,2021-10-08,Q25352543,Ben Morton,male,1981-06-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ben%20Morton.jpg
Minister Assisting the Minister for Trade and Investment,2021-06-21,Q16189272,David Gillespie,male,1957-12-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Gillespie%202017%20%28cropped%29.jpg
Assistant Minister for Children and Families,2018-08-28,Q16194644,Michelle Landry,female,1962-10-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Michelle%20Landry%202016.jpg
"Assistant Minister for Customs, Community Safety and Multicultural Affairs",2019-05-29,Q6163809,Jason Wood,male,1968-05-24,11,,,
Assistant Minister for Defence,2020-12-22,Q21066082,Andrew Hastie,male,1982-09-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anastasia%20Lin%20and%20Andrew%20Hastie%20MP%20in%20Parliamentary%20Offices%204%20December%202018%20%28DB%29%20%28cropped%29.jpg
Assistant Minister for Forestry and Fisheries,2019-05-29,Q25268390,Jonathon Duniam,male,1982-12-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Senator%20Jonathon%20Duniam.jpg
Assistant Minister for Industrial Relations,2021-03-30,Q50808634,Amanda Stoker,female,1982-10-30,11,,,
Assistant Minister for Industry Development,2020-12-22,Q25268390,Jonathon Duniam,male,1982-12-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Senator%20Jonathon%20Duniam.jpg
Assistant Minister for Local Government,2021-06-21,Q16195119,Kevin Hogan,male,1963-08-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kevin%20Hogan%20%28cropped%29.jpg
Assistant Minister for Regional Development and Territories,2019-05-29,Q7048144,Nola Marino,female,1954-02-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nola%20Marino%20Myanmar%20%28cropped%29.jpg
Assistant Minister for Regional Tourism,2021-07-02,Q16194644,Michelle Landry,female,1962-10-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Michelle%20Landry%202016.jpg
Assistant Minister for Road Safety and Freight Transport,2018-08-28,Q7436060,Scott Buchholz,male,1968-03-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Scott%20Buchholz%20Penelope%20Wensley%202013%20%28cropped%29.jpg
Assistant Minister for Waste Reduction and Environmental Management,2021-06-21,Q27435052,Trevor Evans,male,1981-08-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Trevor%20Evans%20MP%20%28cropped%29.jpg
Assistant Minister for Women,2021-03-30,Q50808634,Amanda Stoker,female,1982-10-30,11,,,
Assistant Minister for Youth and Employment Services,2020-12-22,Q16729935,Luke Howarth,male,1972-06-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Luke%20Howarth.jpg
Assistant Minister to the Attorney-General,2020-12-22,Q50808634,Amanda Stoker,female,1982-10-30,11,,,
Assistant Minister to the Deputy Prime Minister,2020-02-06,Q16195119,Kevin Hogan,male,1963-08-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kevin%20Hogan%20%28cropped%29.jpg
"Assistant Minister to the Minister for Industry, Energy and Emissions Reduction",2016-07-02,Q16205919,Tim Wilson,male,1980-03-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tim%20Wilson%202014.jpg
Assistant Minister to the Prime Minister and Cabinet,2021-06-21,Q25352543,Ben Morton,male,1981-06-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ben%20Morton.jpg
Assistant Minister to the Prime Minister for Mental Health and Suicide Prevention,2020-12-22,Q16214788,David Coleman,male,1974-03-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Coleman.jpg
President of the Australian Senate,2021-10-18,Q36913535,Slade Brockman,male,1970-03-27,11,,,
Speaker of the House of Representatives,2015-08-10,Q16197257,Tony Smith,male,1967-03-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tony%20Smith%20March%202017%20cropped.jpg
Leader of the House,2021-03-30,Q7173778,Peter Dutton,male,1970-11-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Dutton%20with%20the%20commanding%20officer%20of%20the%203d%20Battalion%2C%2012th%20Marines%20during%20Talisman%20Sabre%202021.jpg
Leader of the Government in the Senate,2020-10-30,Q7518284,Simon Birmingham,male,1974-06-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Birmingham.jpg
Manager of Government Business in the Senate,2019-05-29,Q4768766,Anne Ruston,female,1963-06-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anne%20Ruston%202018-11-21.jpg
Attorney-General for Australia,2021-03-30,Q572783,Michaelia Cash,female,1970-07-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Michaelia%20Cash%20March%202014.jpg
Chief Justice,2017-01-30,Q7648065,Susan Kiefel,female,1954-01-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Susan%20Kiefel%202011.jpg
Chief Justice of the Federal Court,2013-03-01,Q6128666,James Allsop,male,1953-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/1%20james%20allsop%202017.jpg
Director of Public Prosecutions,2016-05-16,Q81408591,Sarah McNaughton,female,,,,,
Director-General of the Australian Secret Intelligence Service,2017-12-18,Q7153896,Paul Symon,male,1960-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/PaulSymonPortrait.jpg
Director-General of the Australian Signals Directorate,2020-02-01,Q96211161,Rachel Noble,female,,,,,
Solicitor-General,2017-01-16,Q28009342,Stephen Donaghue,male,1973-01-07,11,,,
Treasurer of Australia,2018-08-24,Q6288876,Josh Frydenberg,male,1971-07-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Josh%20Frydenberg%20%2847543854322%29.jpg
Governor of the Reserve Bank,2016-09-18,Q27922677,Philip Lowe,male,1961-10-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Philip%20Lowe%202017-01.jpg
Chief of Air Force,2019-07-01,Q6810731,Mel Hupfeld,male,1962-03-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mel%20Hupfeld.jpg
Chief of Joint Operations,2019-07-01,Q18639131,Greg Bilton,male,1965-03-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gregory%20C.%20Bilton.jpg
Chief of Navy,2018-04-16,Q16733451,Michael Noonan,male,1966-12-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20J.%20Noonan%20in%202020.jpg
Chief of the Defence Force,2018-07-06,Q5676860,Angus Campbell,male,1901-01-01,7,,,http://commons.wikimedia.org/wiki/Special:FilePath/Angus%20Campbell.jpg
Governor of New South Wales,2019-05-02,Q6759174,Margaret Beazley,female,1951-07-23,11,,,
Premier of New South Wales,2021-10-05,Q5290616,Dominic Perrottet,male,1982-09-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/CEBIT%20Australia%20-%20Day%202%2C%20The%20Hon%20Dominic%20Perrottet%20MP%20%282%29%20%28cropped%29.jpg
Governor of Queensland,2021-11-01,Q102105618,Jeannette Young,female,1963-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jeannette%20Young%2C%20Chief%20Health%20Officer%2C%20Queensland%20Government%2C%202020%20%28cropped%29%202.jpg
Premier of Queensland,2015-02-14,Q4768021,Annastacia Palaszczuk,female,1969-07-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Annastacia%20Palaszczuk%202016.jpg
Governor of South Australia,2021-10-07,Q5478491,Frances Adamson,female,1961-04-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Frances%20Adamson%20%282%29.jpg
Premier of South Australia,2018-03-19,Q7615025,Steven Marshall,male,1968-01-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/PremierMarshall2018.jpg
Governor of Tasmania,2021-06-16,Q107015364,Barbara Baker,female,,,,,
Premier of Tasmania,2020-01-20,Q7174432,Peter Gutwein,male,1964-12-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Gutwein%20%28cropped%29.jpg
Governor of Victoria,2015-07-01,Q6551523,Linda Dessau,female,1953-05-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Linda%20Dessau.jpg
Premier of Victoria,2014-12-04,Q5216414,Daniel Andrews,male,1972-06-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Andrews%202018.jpg
Governor of Western Australia,2018-05-01,Q304561,Kim Beazley,male,1948-12-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Beazley%20crop.jpg
Premier of Western Australia,2017-03-17,Q16197112,Mark McGowan,male,1967-07-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mark%20McGowan%2C%20shark%20cull%20protest%20%28crop%29.png
Administrator of the Northern Territory,2017-10-31,Q42409570,Vicki O'Halloran,female,1964-06-20,11,,,
Chief Minister of the Northern Territory,2016-08-31,Q6830839,Michael Gunner,male,1976-01-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Gunner.jpg
Chief Minister of the Australian Capital Territory,2014-12-11,Q4756289,Andrew Barr,male,1973-04-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/AndrewBarrportrait%20%28cropped%29.jpg
Administrator of Norfolk Island,2017-04-01,Q16730000,Eric Hutchinson,male,1965-06-19,11,,,
Administrator of the Indian Ocean Territories,2017-10-05,Q16207753,Natasha Griggs,female,1969-01-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/NatashaGriggs.png
