position,person,personID,start,gender,DOB,DOD,image,enwiki
Governor of Aomori Prefecture,Shingo Mimura,Q174982,2003-06-29,male,1956-04-16,,日本青森縣知事三村申吾.jpg,Shingo Mimura
Governor of Chiba Prefecture,Toshihito Kumagai,Q11568706,2021-04-05,male,1978-02-18,,,
Governor of Ehime Prefecture,Tokihiro Nakamura,Q2438992,2010-12-01,male,1960-01-25,,Tokihiro Nakamura 2013-02-01.JPG,Tokihiro Nakamura
Governor of Fukui Prefecture,Tatsuji Sugimoto,Q67498535,2019-04-23,male,1962,,,Tatsuji Sugimoto
Governor of Fukuoka Prefecture,Seitaro Hattori,Q95162957,2021-04-11,male,1954,,,
Governor of Fukushima Prefecture,Masao Uchibori,Q17989197,2014-11-12,male,1964-03-26,,Masao Uchibori cropped 2 Shin Maruo Elena Buglova and Masao Uchibori 20130527.jpg,Masao Uchibori
Governor of Gifu Prefecture,Hajime Furuta,Q982638,2005-02-06,male,1947-09-13,,,Hajime Furuta
Governor of Gunma Prefecture,Ichita Yamamoto,Q1655599,2019-07-28,male,1958-01-24,,"Ichita Yamamoto, 20191206.jpg",Ichita Yamamoto
Governor of Hiroshima Prefecture,Hidehiko Yuzaki,Q1485068,2009-11-29,male,1965-10-04,,Hidehiko Yuzaki cropped 3 Hidehiko Yuzaki and Toshiro Ozawa 20121102.jpg,Hidehiko Yuzaki
Governor of Hokkaidō Prefecture,Naomichi Suzuki,Q11649100,2019-04-23,male,1981-03-14,,Governor Naomichi Suzuki in 2020.jpg,Naomichi Suzuki
Governor of Hyōgo Prefecture,Motohiko Saitō,Q107917854,2021-08-01,male,1977-11-15,,斎藤元彦.jpg,Motohiko Saitō
Governor of Ibaraki Prefecture,Kazuhiko Ōigawa,Q38081041,2017-09-26,male,1964-04-03,,"Kazuhiko Oigawa, 20191206.jpg",Kazuhiko Ōigawa
Governor of Ishikawa Prefecture,Masanori Tanimoto,Q982469,1994-03-27,male,1945-04-16,,,Masanori Tanimoto
Governor of Iwate Prefecture,Takuya Tasso,Q49869,2007-04-08,male,1964-06-10,,Tasso Takuya (2010).JPG,Takuya Tasso
Governor of Kagawa Prefecture,Keizō Hamada,Q1738107,2010-09-05,male,1952-01-10,,,Keizō Hamada
Governor of Kagoshima Prefecture,Kōichi Shiota,Q97291648,2020-07-28,male,1965-10-15,,,Kōichi Shiota
Governor of Kanagawa Prefecture,Yūji Kuroiwa,Q655960,2011-04-23,male,1954-09-26,,"Governor Kanagawa Yuji Kuroiwa. In the case of an electric bus test ride, I photographed it at Fureiyu.JPG",Yūji Kuroiwa
Governor of Kumamoto Prefecture,Ikuo Kabashima,Q1658176,2008-04-16,male,1947-01-28,,Ikuo Kabashima 20090523.jpg,Ikuo Kabashima
Governor of Kyoto,Takatoshi Nishiwaki,Q50824931,2018-04-16,male,1955-07-15,,Takatoshi Nishiwaki IMG 0884-28 20181111.jpg,Takatoshi Nishiwaki
Governor of Kōchi Prefecture,Seiji Hamada,Q80073979,2019-12-07,male,1963-01-23,,,Seiji Hamada
Governor of Mie Prefecture,Katsumi Ichimi,Q100454684,2021-09-14,male,,,,
Governor of Miyagi Prefecture,Yoshihiro Murai,Q377940,2005-11-21,male,1960-08-20,,Miyagi Prefecture Governor Yoshihiro Murai (村井嘉浩 ) at 2011 MOD seminar.jpg,Yoshihiro Murai
Governor of Miyazaki Prefecture,Shunji Kōno,Q1804854,2011-01-21,male,1964-09-08,,"Governor Miyazaki Syunji Kouno. In the case of a symposium of the Kojiki, I photographed it at Meiji university.jpg",Shunji Kōno
Governor of Nagano Prefecture,Shuichi Abe,Q2280320,2010-08-01,male,1960-12-21,,ABE Syuichi 2011.jpg,Shuichi Abe
Governor of Nagasaki Prefecture,Hōdō Nakamura,Q52349,2010-03-02,male,1950-11-29,,,Hōdō Nakamura
Governor of Nara Prefecture,Shōgo Arai,Q1247261,2007-05-03,male,1945-01-18,,"Governor Nara sougo Arai. In the case of a symposium of the Kojiki, I photographed it at Meiji university.jpg",Shōgo Arai
Governor of Niigata Prefecture,Hideyo Hanazumi,Q54913364,2018-06-10,male,1958-05-22,,,Hideyo Hanazumi
Governor of Ōita Prefecture,Katsusada Hirose,Q1736802,2003-04-28,male,1942-06-25,,20160908大分縣廣瀨勝貞知事.jpg,Katsusada Hirose
Governor of Osaka Prefecture,Hirofumi Yoshimura,Q21529384,2019-04-08,male,1975-06-17,,Hirofumi Yoshimura.jpg,Hirofumi Yoshimura
Governor of Okayama Prefecture,Ryūta Ibaragi,Q11379176,2012-11-12,male,1966-07-29,,,Ryuta Ibaragi
Governor of Okinawa Prefecture,Denny Tamaki,Q11572466,2018-10-04,male,1959-10-13,,Denny Tamaki (2018).jpg,Denny Tamaki
Governor of Saga Prefecture,Yoshinori Yamaguchi,Q18818272,2015-01-14,male,1965-07-01,,,Yoshinori Yamaguchi
Governor of Saitama Prefecture,Motohiro Ōno,Q6140287,2019-01-01,male,1963-11-12,,Motohiro Ono 201210.jpg,Motohiro Ōno
Governor of Shiga Prefecture,Taizo Mikazuki,Q7676684,2014-07-20,male,1971-05-24,,,Taizō Mikazuki
Governor of Shimane Prefecture,Tatsuya Maruyama,Q64783824,2019-04-30,male,1970,,,Tatsuya Maruyama
Governor of Shizuoka Prefecture,Heita Kawakatsu,Q1505020,2009-07-07,male,1948-08-16,,Heita Kawakatsu cropped 2 Heita Kawakatsu 20140831.jpg,Heita Kawakatsu
Governor of Tochigi Prefecture,Tomikazu Fukuda,Q455915,2004-12-09,male,1953-05-21,,"Tomikazu Fukuda, 20191206.jpg",Tomikazu Fukuda
Governor of Tokushima Prefecture,Kamon Iizumi,Q1670854,2003-05-18,male,1960-07-29,,,Kamon Iizumi
Governor of Tokyo,Yuriko Koike,Q261703,2016-08-02,female,1952-07-15,,Koike Yuriko (2019).jpg,Yuriko Koike
Governor of Tottori Prefecture,Hirai Shinji,Q1326985,2007-04-13,male,1961-09-17,,Shinji Hirai.jpg,Shinji Hirai
Governor of Toyama Prefecture,Hachiro Nitta,Q50640705,2020-11-09,male,1958-08-27,,,
Governor of Wakayama Prefecture,Yoshinobu Nisaka,Q453168,2006-12-17,male,1950-10-02,,Yoshinobu Nisaka-20070215.jpg,Yoshinobu Nisaka
Governor of Yamagata Prefecture,Mieko Yoshimura,Q529418,2009-02-14,female,1951-05-18,,20160519吉村美榮子.jpg,Mieko Yoshimura
Governor of Yamaguchi Prefecture,Tsugumasa Muraoka,Q15830756,2014-02-25,male,1972-12-07,,,Tsugumasa Muraoka
Governor of Yamanashi Prefecture,Kotaro Nagasaki,Q6433881,2019-02-17,male,1968-08-18,,,Kotaro Nagasaki
